atracao;data;tipoCliente
4;08/2024;adulto
9;08/2024;crianca
8;08/2024;crianca
5;08/2024;crianca
4;08/2024;adulto
8;08/2024;adulto
7;08/2024;crianca
4;08/2024;adulto
7;08/2024;crianca
8;08/2024;crianca
8;08/2024;crianca
8;08/2024;adulto
5;08/2024;adulto
5;08/2024;crianca
5;08/2024;crianca
5;08/2024;crianca
5;08/2024;crianca
5;08/2024;crianca
2;08/2024;adulto
10;08/2024;crianca
3;08/2024;crianca
1;08/2024;adulto
4;08/2024;crianca
1;08/2024;adulto
1;08/2024;adulto
1;08/2024;adulto
1;08/2024;adulto
8;08/2024;crianca
8;08/2024;adulto
